title,category,similarity
Senate to try to override Trump emergency declaration veto Thursday,news,0.4147145473406651
"Luke DeCock: After Cole Anthony's spectacular UNC debut, he's not just talented. He's indispensable.",sports,0.3551440487084456
Republicans urge Bevin to provide proof of election fraud or concede,news,0.3511382895213293
XFL draft pool full of NFL experience and names you know,sports,0.3401255343138012
Felicity Huffman is pictured in prison jumpsuit during visit from husband William H. Macy and daughter Sophia as she starts two week sentence over college admissions scandal,tv,0.3361176861801263
NFL players who should be traded before the deadline,sports,0.3244777205095385
Joe Flacco criticizes Broncos coaches as 'afraid to lose' after Colts' comeback,sports,0.2942750086676527
"Report: Mariota, Winston 'likely' done as 'franchise leaders'",sports,0.2865219189604929
Prosecutors want black judge who criticized incarceration rates of African Americans removed,news,0.269180100363425
Have we seen the last of Broncos QB Flacco in NFL?,sports,0.2684650484487401
